Restaurant Name,Locality,City,Cuisines,Highlights
Muse Restaurant and Cafe,Pokolbin,Pokolbin,Modern Australian,"['Dinner', 'Credit Card', 'Lunch', 'Fullbar', 'Indoor Seating']"
Lou Miranda Estate Restaurant,Rowland Flat,Rowland Flat,Modern Australian,"['Lunch', 'Cash', 'Debit Card', 'Dinner', 'Credit Card', 'Takeaway Available', 'Fullbar', 'Table booking recommended']"
Liza's Kitchen,Panama City Beach,Panama City,"Breakfast, Sandwich, Vegetarian","['Lunch', 'Dinner', 'Outdoor Seating', 'Wifi', 'Kid Friendly', 'Vegetarian Friendly']"
La Tarasca,Centralia,Centralia,Mexican,"['Takeaway Available', 'Dinner', 'Lunch']"
Coast,Hervey Bay,Hervey Bay,Modern Australian,"['Lunch', 'Dinner', 'Outdoor Seating', 'Gluten Free Options', 'Kid Friendly', 'Waterfront']"
Click's Steak House,Pawnee,Pawnee,"American, Burger, Steak","['Lunch', 'Dinner']"
Stockman's Restaurant & Lounge,Foothills No 31,Foothills No 31,"Southwestern, Steak","['Lunch', 'Serves Alcohol', 'Dinner', 'Outdoor Seating', 'Private Dining Area Available', 'Kid Friendly', 'Sports Bar', 'Table booking recommended']"
Barbeque Nation,Ulubari,Guwahati,"North Indian, Mediterranean","['Lunch', 'Serves Alcohol', 'Credit Card', 'Debit Card', 'Delivery', 'Dinner', 'Cash', 'Fullbar', 'Air Conditioned', 'Indoor Seating', 'Table booking recommended', 'Buffet']"
The Mad Greek Cafe,Baker,Baker,"Greek, Mediterranean","['Lunch', 'Delivery', 'Dinner', 'Kid Friendly']"
Amuse Bistro On The Vineyard,Cobble Hill,Cobble Hill,"Breakfast, French, Pacific Northwest","['Lunch', 'Dinner', 'Gluten Free Options', 'Vegan Options']"
White Horse Country Pub and Restaurant,New Preston,New Preston,"American, British","['Delivery', 'Lunch', 'Serves Alcohol', 'Takeaway Available', 'Dinner', 'Outdoor Seating', 'Nightlife', 'Kid Friendly', 'Gastro Pub', 'Table booking recommended']"
Depot Eatery & Oyster Bar,Federal Street,Auckland,"Seafood, Kiwi","['Dinner', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Breakfast', 'Fullbar', 'Indoor Seating', 'Open Kitchen', ""Seasonal Chef's Menu"", 'EFTPos', 'Gluten Free Options', 'Locally Sourced', 'Shared Plates', 'Outdoor Seating', 'Table booking not available', 'Outdoor Heating', 'Wifi', 'Vegetarian Friendly']"
Ripples on the Bay,Rippleside,Rippleside,"Modern Australian, Cafe Food","['Cash', 'Lunch', 'No Alcohol Available', 'Dinner', 'Wifi', 'Waterfront', 'Outdoor Seating', 'Gluten Free Options']"
The Loaf and Lounge,Camperdown,Camperdown,Coffee and Tea,"['Lunch', 'Dinner']"
Leonards Mill,Second Valley,Second Valley,Australian,"['Lunch', 'Dinner', 'Outdoor Seating', 'Gluten Free Options', 'Farm-to-Table', 'Table booking recommended']"
Wild Horse Mountain Bar-B-Que,Sallisaw,Sallisaw,BBQ,"['Dinner', 'Lunch', 'Kid Friendly']"
5 Little Pigs,Huskisson,Huskisson,"Breakfast, Modern Australian","['Lunch', 'Credit Card', 'Dinner']"
L'Unico Trattoria,Trinity Beach,Trinity Beach,"Italian, Pizza, Seafood","['Dinner', 'Lunch', 'Outdoor Seating', 'Waterfront', 'Kid Friendly', 'Gluten Free Options', 'BYO']"
The Winery Kitchen,Seymour,Seymour,"Australian, Desserts, Italian","['Cash', 'Lunch', 'Dinner', 'Kid Friendly', 'Gluten Free Options', 'Farm-to-Table', 'Indoor Seating', 'Vegan Options', 'Fullbar', 'Table booking recommended']"
