Name,City,Latitude,Longitude,Rating
Continental Deli Bar and Bistro,Sydney,-33.8962817,151.1762004,1
Cottage Point Inn,Sydney,-33.6155275,151.2027043,1
The Dolphin Hotel,Sydney,-33.8845781,151.212133,1
Don Peppino's,Sydney,-33.881879,115.3599023,1
Felix,Sydney,-33.8854045,151.1471152,1
Fratelli Paradiso,Sydney,-33.8688455,151.2230057,1
Gaku Robata Grill,Sydney,-33.8784221,151.218225,1
The Gantry,Sydney,-33.8541874,151.2059331,1
Glass Brasserie,Sydney,-33.8718452,151.205003,1
Hotel Centennial,Sydney,-33.8899385,151.2331556,1
Restaurant Hubert,Sydney  ,-33.8651347,151.2082606,1
Jonah's,Sydney,-33.6072655,115.4701482,1
Kepos and Co,Sydney,-33.8970107,151.2091069,1
Lankan Filling Station,Sydney,-33.874675,151.2133608,1
LP's Quality Meats,Sydney,-33.8873733,151.1985897,1
Ms.G's,Sydney,-33.8726281,151.2202778,1
Nomad,Sydney,-33.8917264,151.1020405,1
One Penny Red,Sydney,-33.891807,151.1348714,1
Otto,Sydney,-33.8680264,151.2183691,1
Queen Chow,Sydney  ,-33.898791,151.102497,1
The Restaurant Pendolino,Sydney,-33.8694121,151.2049705,1
Rising Sun Workshop,Sydney,-33.8959985,151.1795103,1
Rosetta ,Sydney  ,-33.8622429,151.2048865,1
Sagra,Sydney,-33.8755858,151.2127148,1
Saint Peter,Sydney  ,-33.8864597,151.2210958,1
Sake Restaurant and Bar,Sydney,-33.869296,151.1608648,1
Sean's,Sydney  ,-33.8290969,150.9176303,1
Sokyo,Sydney,-33.8695291,151.1936957,1
Spice Temple,Sydney  ,-33.8660023,151.2080051,1
Sushi e,Sydney,-33.8640232,151.2055182,1
Uccello,Sydney,-33.8663216,151.2055321,1
Yan,Sydney,-33.9319501,151.0107985,1
The Argyle Inn,Sydney,-34.3987454,149.8172678,1
Bistro Molines,Sydney,-32.8487629,151.2915315,1
Caveau,Sydney,-34.4220405,150.8914064,1
Clementine,Sydney,-34.8430986,148.9082223,1
Lolli Redini,Sydney,-33.2817966,149.0947605,1
Margan Restaurant,Sydney,-32.7531379,151.0925337,1
Muse Kitchen,Sydney,-32.73479,151.260385,1
Paper Daisy,Sydney  ,-28.3307663,153.5680563,1
Pipit,Sydney,-28.3894197,153.5616906,1
The Stunned Mullet,Sydney,-31.4307482,152.9182669,1
Subo,Sydney,-32.9274955,151.764478,1
Agostino,Melbourne,-37.7983753,144.9648775,1
Anchovy,Melbourne,-37.8191027,145.0004243,1
Atlas Dining,Melbourne,-37.8462857,144.9887683,1
Bacash,Melbourne,-37.8341624,144.9797557,1
Bar Carolina,Melbourne,-37.8386747,144.9858154,1
Bar Liberty,Melbourne,-37.7989409,144.9805705,1
Bar Lourinha,Melbourne,-37.8128107,144.9703298,1
Bistro Guilllaume,Melbourne,-37.8221825,144.9572262,1
Café Di Stasio,Melbourne,-37.8617559,144.9721371,1
Cape,Melbourne,-38.4610451,144.8910734,1
Captain Moonlite,Melbourne,-38.4149699,144.1829054,1
Carlton Wine Room,Melbourne,-37.7986068,144.9664224,1
Caterina's Cucine e Bar,Melbourne,-37.8135497,144.9575663,1
Cecconi's Flinder's Lane,Melbourne,-37.8150512,144.9703406,1
Centonove,Melbourne,-37.8076743,145.0364816,1
Coda,Melbourne,-37.8158219,144.9677038,1
Congress,Melbourne,-37.8054125,144.9839635,1
Cumulus Inc.,Melbourne,-37.8147597,144.9708643,1
Da Noi,Melbourne,-37.8386124,144.987478,1
Doot Doot Doot,Melbourne,-38.3444748,145.0984563,1
Donovans,Melbourne,-37.8685401,144.9729292,1
Elyros,Melbourne,-37.970154,144.492669,1
Embla,Melbourne,-37.8134268,144.9664419,1
Estella,Melbourne,-37.8039608,144.9485319,1
Etta,Melbourne,-37.7768617,144.9689523,1
Ezard,Melbourne,-37.8257493,145.082796,1
Ezard at Levantine Hill,Melbourne,-37.825041,145.0827953,1
French Saloon,Melbourne,-37.8135887,144.9590983,1
Greasy Zoes,Melbourne,-37.6377187,145.1924543,1
Harley and Rose,Melbourne,-37.7973047,144.8756193,1
Hogget Kitchen,Melbourne,-38.1948642,145.9289922,1
Il Baccaro,Melbourne,-37.8138589,144.9658053,1
Ipsos,Melbourne,-37.832753,144.9943979,1
Kazuki's,Melbourne,-37.8041517,144.9638783,1
Lee Ho Fook,Melbourne,-37.815598,144.9691194,1
Lesa,Melbourne,-37.8134187,144.966475,1
Maha,Melbourne,-37.8181624,144.9604363,1
Marion,Melbourne,-37.8053967,144.9736613,1
Matilda,Melbourne,-37.8342058,144.9794492,1
Midnight Starling,Melbourne,-37.2440452,144.4472384,1
Montalto,Melbourne,-38.4078282,144.9915064,1
MoVida,Melbourne,-37.8167124,144.966953,1
Napier Quarter,Melbourne,-37.7968277,144.9786503,1
Navi,Melbourne,-37.8299175,144.897417,1
Noir,Melbourne,-37.8255343,144.9624978,1
Oakridge,Melbourne,-37.6877847,145.4554103,1
Osteria Illaria,Melbourne,-37.8136032,144.9597182,1
Philippe,Melbourne,-37.8154635,144.9667271,1
Pt. Leo Restaurant,Melbourne,-38.4146157,145.0647903,1
Rare Hare,Melbourne,-38.3451959,145.0949363,1
The Recreation,Melbourne,-37.7906043,144.9830569,1
Rockpool Bar and Grill,Melbourne,-37.8218439,144.9580813,1
Ryne,Melbourne,-37.7843278,144.9805131,1
Sardine Eatery and Bar,Melbourne,-37.9194619,147.7222438,1
Saxe,Melbourne,-37.8138262,144.9577907,1
Scopri,Melbourne,-37.7956701,144.9727372,1
Stefano's,Melbourne,-34.1829667,142.1611785,1
Stokehouse,Melbourne,-37.8676584,144.9721125,1
Source Dining,Melbourne,-37.2439151,144.4466613,1
Sunda,Melbourne,-37.8103504,144.9689748,1
Supernormal,Melbourne,-37.8101898,144.9011231,1
TarraWarra Estate,Melbourne,-37.6593457,145.4674683,1
Terrace Restaurant,Melbourne,-37.6592683,145.4346374,1
Tempura Hajime,Melbourne,-37.832754,144.9666946,1
Tipo 00,Melbourne,-37.8135479,144.9597948,1
Tonka,Melbourne,-37.8156948,144.969222,1
Tulip,Melbourne,-38.1384143,144.3463449,1
Tulum,Melbourne,-37.8689171,144.9917847,1
Underbar,Melbourne,-37.5609303,143.8525491,1
Amelia Park,Perth,-33.7789617,114.9664498,1
Arimia,Perth,-33.7345314,115.0117447,1
Balthazar,Perth,-31.9564544,115.8561013,1
Bread in Common,Perth,-32.0562297,115.7102111,1
Garum,Perth,-31.955049,115.8623595,1
The Heritage Wine Bar,Perth,-31.9544798,115.8530536,1
Island Market,Perth,-31.8777501,115.7508352,1
Lalla Rookh,Perth,-31.9554954,115.8561449,1
Le Rebelle,Perth,-31.9337418,115.8707321,1
Liberte,Perth,-35.0268564,117.8810615,1
Long Chim,Perth,-31.955551,115.8578113,1
Lulu La Delizia ,Perth,-31.9478232,115.8215974,1
Madalena's,Perth,-32.0736721,115.7511473,1
Manuka Woodfire Kitchen,Perth,-32.0534651,115.7472135,1
Propeller,Perth,-32.0349954,115.7514224,1
Rockpool Bar and Grill,Perth,-31.961176,115.8920669,1
Vasse Felix,Perth,-33.8224639,115.0355374,1
Wildflower,Perth,-32.9509103,114.3060125,1
Yarri,Perth,-33.6151129,115.1022496,1
Young George,Perth,-32.0440268,115.7578597,1
