Restaurant ID,Name,Cuisine,Locality,City,Rating,Delivery
16598048,P'tite Ardoise Bistro,French,Perth CBD,Perth,4.6,No
16601401,Flora & Fauna,"Coffee and Tea, Cafe Food",Northbridge,Perth,4.3,No
16598837,Run Amuk,Fast Food,"Orient Street, South Fremantle",Perth,4.9,No
16598045,Bivouac Canteen & Bar,"Mediterranean, Middle Eastern, Tapas",Northbridge,Perth,4.5,No
16597765,Ootong & Lincoln,"Modern Australian, Burger, Sandwich, Coffee and Tea, Cafe Food",South Fremantle,Perth,4.4,No
16596635,Andaluz Bar & Tapas,"Spanish, Tapas",Perth CBD,Perth,4.4,No
16597791,The Attic Fremantle,Cafe Food,Fremantle,Perth,4.4,No
16600310,Little Bird Cafe,"Australian, Cafe Food",Northbridge,Perth,4.2,No
16596818,Toast,"Coffee and Tea, Sandwich, Cafe Food",East Perth,Perth,4.2,No
16596980,Clarences,"Tapas, Modern Australian",Mount Lawley,Perth,4.4,No
16595831,C Restaurant,"Modern Australian, European",Perth CBD,Perth,4.1,No
16597791,The Attic Fremantle,Cafe Food,Fremantle,Perth,4.4,No
16600310,Little Bird Cafe,"Australian, Cafe Food",Northbridge,Perth,4.2,No
16596818,Toast,"Coffee and Tea, Sandwich, Cafe Food",East Perth,Perth,4.2,No
16596980,Clarences,"Tapas, Modern Australian",Mount Lawley,Perth,4.4,No
16595831,C Restaurant,"Modern Australian, European",Perth CBD,Perth,4.1,No
16596581,Alfred's Kitchen,"Burger, Fast Food",Guildford,Perth,4.5,No
16599234,Superstar Waffles,"Desserts, Coffee and Tea",Northbridge,Perth,4.2,No
16596548,Hawker's Cuisine,"Chinese, Malaysian",Northbridge,Perth,4.5,Yes
16597128,Restaurant Jun,"Japanese, Sushi",Perth CBD,Perth,4.4,No
16596534,West End Deli,Cafe Food,West Perth,Perth,4.3,No
16596768,Sherbet Cafe & Bake Shop,"Bakery, Coffee and Tea","Whatley Crescent, Maylands",Perth,4.7,No
16596072,Il Lido Italian Canteen,Italian,Cottesloe,Perth,4.3,No
16596945,The Little Pantry,"Modern Australian, Cafe Food",Subiaco,Perth,4.4,No
16599918,Jamie's Italian,Italian,Perth CBD,Perth,3.8,No
16597087,Kitsch Bar,"Asian, Street Food",Leederville,Perth,4.2,No
16596002,Galileo Buona Cucina,Italian,Shenton Park,Perth,4.8,No
16599146,The Merrywell,"American, Burger, Bar Food",Burswood,Perth,4.0,No
16596981,V Burger Bar,Burger,East Victoria Park,Perth,4.4,No
16596567,The Imp,"Modern Australian, Cafe Food",East Victoria Park,Perth,4.3,No
16596448,Tony Roma's,"American, Burger, Steak, BBQ",Perth CBD,Perth,4.2,No
16596002,Galileo Buona Cucina,Italian,Shenton Park,Perth,4.8,No
16599146,The Merrywell,"American, Burger, Bar Food",Burswood,Perth,4.0,No
16596981,V Burger Bar,Burger,East Victoria Park,Perth,4.4,No
16596567,The Imp,"Modern Australian, Cafe Food",East Victoria Park,Perth,4.3,No
16596448,Tony Roma's,"American, Burger, Steak, BBQ",Perth CBD,Perth,4.2,No
16596326,Ria Malay Kitchen,"Malaysian, Asian",Leederville,Perth,4.2,No
16598952,el PÚBLICO,"Mexican, Bar Food",Highgate,Perth,4.2,No
16598876,Aisuru Sushi,"Japanese, Sushi",Northbridge,Perth,4.3,No
16597131,Cafe Elixir,Cafe Food,Wanneroo,Perth,4.5,No
16598601,Chinta,"Beverages, Cafe Food","Scarborough Beach Road, North Perth",Perth,4.1,No
16596479,Voyage Kitchen,"Modern Australian, Cafe Food",Sorrento,Perth,4.3,No
16598976,Marumo,"Japanese, Seafood, Modern Australian",Nedlands,Perth,4.9,No
16596234,Must Winebar,Modern Australian,Highgate,Perth,4.5,No
16602022,James Parker Sushi X Sake,"Japanese, Sushi",Northbridge,Perth,4.3,No
16599605,The Apple Daily Bar & Eating House,"Asian, Fusion",Perth CBD,Perth,4.3,No
18156128,Petition Kitchen,"European, Australian",Perth CBD,Perth,4.2,No
16596049,Hanami Japanese Restaurant,"Japanese, Sushi",Mount Lawley,Perth,4.3,No
16597743,Rockpool Bar & Grill,"Steak, Modern Australian, Bar Food",Burswood,Perth,4.2,No
16601688,Tropico,"Tapas, Modern Australian, Pizza",North Beach,Perth,4.0,No
16599238,Kuza Urban Japanese Food,"Japanese, Sushi, Asian",Victoria Park,Perth,4.2,No
16577492,Chin Chin,"Thai, Asian Fusion",CBD,Melbourne,4.6,No
16573665,The Hardware Societe,"French, Cafe Food, Coffee and Tea",CBD,Melbourne,4.6,No
16585905,Tipo 00,Italian,CBD,Melbourne,4.9,No
16583098,Lune Croissanterie,"Bakery, French",Fitzroy,Melbourne,4.9,No
16582897,Supernormal,"Asian, Fusion",CBD,Melbourne,4.5,No
16582069,Jinda Thai Restaurant,Thai,Abbotsford,Melbourne,4.7,No
18423923,Humble Rays,"Coffee and Tea, Cafe Food, Asian Fusion",Carlton,Melbourne,4.8,No
18449476,Calia,"Japanese, Australian, Asian",Emporium Melbourne,Melbourne,4.5,Yes
16582887,Rice Paper Scissors,"Asian Fusion, Tapas",CBD,Melbourne,4.8,Yes
18515006,Kisumé,Japanese,CBD,Melbourne,4.5,No
16581560,Operator25,"Coffee and Tea, Cafe Food",CBD,Melbourne,4.3,No
16577212,Beatrix,"Coffee and Tea, Bakery",North Melbourne,Melbourne,4.9,No
16577214,Manchester Press,"Coffee and Tea, Cafe Food",CBD,Melbourne,4.4,No
16582573,Mr. Miyagi,"Asian, Japanese",Windsor,Melbourne,4.7,No
16575238,Mamasita,"Latin American, Mexican",CBD,Melbourne,4.4,No
16585400,Hakata Gensuke Ramen Professionals,"Ramen, Japanese",CBD,Melbourne,4.7,No
16713362,Serotonin Eatery,"Cafe Food, Healthy Food, Vegan",Richmond,Melbourne,4.6,Yes
16578739,ChangGo,"Korean BBQ, Korean",CBD,Melbourne,4.5,No
18316755,Higher Ground,"Cafe Food, Coffee and Tea",CBD,Melbourne,4.2,No
16573377,Seven Seeds,"Coffee and Tea, Cafe Food",Carlton,Melbourne,4.4,No
16585400,Hakata Gensuke Ramen Professionals,"Ramen, Japanese",CBD,Melbourne,4.7,No
16713362,Serotonin Eatery,"Cafe Food, Healthy Food, Vegan",Richmond,Melbourne,4.6,Yes
16578739,ChangGo,"Korean BBQ, Korean",CBD,Melbourne,4.5,No
18316755,Higher Ground,"Cafe Food, Coffee and Tea",CBD,Melbourne,4.2,No
16573377,Seven Seeds,"Coffee and Tea, Cafe Food",Carlton,Melbourne,4.4,No
16581462,The Grain Store,"European, Coffee and Tea, Cafe Food",CBD,Melbourne,4.5,No
16580028,Wonderbao,"Chinese, Taiwanese",CBD,Melbourne,4.6,No
16578345,San Telmo,Steak,CBD,Melbourne,4.6,No
16581005,Top Paddock,"Coffee and Tea, Cafe Food",Richmond,Melbourne,4.5,No
16573759,Le Petit Gateau,"French, Desserts, Coffee and Tea",CBD,Melbourne,4.9,No
16572962,+39 Pizzeria,"Pizza, Italian",CBD,Melbourne,4.6,No
18138489,Brick Lane,"Cafe Food, Coffee and Tea",CBD,Melbourne,4.5,No
16571189,Cumulus Inc.,"Modern European, Contemporary",CBD,Melbourne,4.7,No
16571938,MoVida Bar De Tapas,"Spanish, Tapas",CBD,Melbourne,4.7,No
16572612,Vue de monde,"Australian, Contemporary",CBD,Melbourne,4.9,No
16571240,DOC Pizza & Mozzarella Bar - Carlton,"Italian, Pizza",Carlton,Melbourne,4.6,No
18584637,Dodee Paidang,Thai,CBD,Melbourne,4.6,Yes
16581252,Industry Beans,"Coffee and Tea, Modern Australian, Cafe Food",Fitzroy,Melbourne,4.5,Yes
16578793,Patricia Coffee Brewers,Coffee and Tea,CBD,Melbourne,4.9,No
16586014,Minamishima,"Japanese, Sushi",Richmond,Melbourne,4.9,No
16571240,DOC Pizza & Mozzarella Bar - Carlton,"Italian, Pizza",Carlton,Melbourne,4.6,No
18584637,Dodee Paidang,Thai,CBD,Melbourne,4.6,Yes
16581252,Industry Beans,"Coffee and Tea, Modern Australian, Cafe Food",Fitzroy,Melbourne,4.5,Yes
16578793,Patricia Coffee Brewers,Coffee and Tea,CBD,Melbourne,4.9,No
16586014,Minamishima,"Japanese, Sushi",Richmond,Melbourne,4.9,No
16574687,Journeyman,"Coffee and Tea, Cafe Food",Windsor,Melbourne,4.7,No
16572320,Shira Nui,"Sushi, Japanese",Glen Waverley,Melbourne,4.8,No
16572269,Sakura Kaiten Sushi,"Sushi, Japanese",CBD,Melbourne,4.6,No
17881527,Dexter,"American, BBQ",Preston,Melbourne,4.9,No
16582574,Hinoki Japanese Pantry,"Japanese, Sushi",Fitzroy,Melbourne,4.9,No
18418602,Shanklin Cafe,"Modern Australian, Coffee and Tea, Cafe Food",Hawthorn,Melbourne,4.8,Yes
16576154,Naked For Satan,Bar Food,Fitzroy,Melbourne,4.6,No
16576105,Guhng,"Korean, Korean BBQ",CBD,Melbourne,4.4,No
16585008,Addict Food & Coffee,"Coffee and Tea, Cafe Food",Fitzroy,Melbourne,4.6,No
16572688,Brother Baba Budan,Coffee and Tea,CBD,Melbourne,4.6,No
16586349,Little Rogue,Coffee and Tea,CBD,Melbourne,4.8,No
16579706,Gypsy & Pig,Japanese,CBD,Melbourne,4.5,No
16579873,Shimbashi Soba & Sake Bar,"Japanese, Tapas",CBD,Melbourne,4.6,No
18303417,White Mojo Speciality Coffee & Roaster,"Cafe Food, Fusion, Coffee and Tea",CBD,Melbourne,4.2,Yes
16571861,The Meat & Wine Co,"BBQ, Steak, Modern Australian","Freshwater Place, Southbank",Melbourne,4.4,No
16586349,Little Rogue,Coffee and Tea,CBD,Melbourne,4.8,No
16579706,Gypsy & Pig,Japanese,CBD,Melbourne,4.5,No
16579873,Shimbashi Soba & Sake Bar,"Japanese, Tapas",CBD,Melbourne,4.6,No
18303417,White Mojo Speciality Coffee & Roaster,"Cafe Food, Fusion, Coffee and Tea",CBD,Melbourne,4.2,Yes
16571861,The Meat & Wine Co,"BBQ, Steak, Modern Australian","Freshwater Place, Southbank",Melbourne,4.4,No
16586666,Vertue Coffee Roasters,"Coffee and Tea, Cafe Food",Carlton,Melbourne,4.6,No
16576912,Shanghai Street Dumpling & Mini Juicy Bun,"Chinese, Dumplings",CBD,Melbourne,4.5,No
16584504,Shortstop Coffee & Donuts,"Desserts, Coffee and Tea",CBD,Melbourne,4.6,Yes
16575201,Three Bags Full,"Coffee and Tea, Cafe Food",Abbotsford,Melbourne,4.5,Yes
18316732,The Crux & Co,"Coffee and Tea, Cafe Food",South Melbourne,Melbourne,4.4,No
16576959,La Belle Miette,"Desserts, French, Coffee and Tea",CBD,Melbourne,4.8,No
16585490,The Glass Den,"Coffee and Tea, Cafe Food",Coburg,Melbourne,4.4,No
16571812,Maha Restaurant,Middle Eastern,CBD,Melbourne,4.7,No
16577335,Chez Dré,"Cafe Food, Bakery, Patisserie",South Melbourne,Melbourne,4.4,Yes
17849632,Hash Specialty Coffee,"Coffee and Tea, Cafe Food",CBD,Melbourne,4.2,Yes
17989264,Faraday's Cage,"Bakery, Coffee and Tea, Cafe Food",Fitzroy,Melbourne,4.7,No
16570776,Auction Rooms,"Coffee and Tea, Cafe Food",North Melbourne,Melbourne,4.4,No
16582263,Gelato Messina,"Ice Cream, Desserts",Fitzroy,Melbourne,4.9,No
16576477,Purple Peanuts Japanese Cafe,"Japanese, Sushi",CBD,Melbourne,4.6,Yes
16578925,Hell of the North,"French, European",Fitzroy,Melbourne,4.7,No
17989264,Faraday's Cage,"Bakery, Coffee and Tea, Cafe Food",Fitzroy,Melbourne,4.7,No
16570776,Auction Rooms,"Coffee and Tea, Cafe Food",North Melbourne,Melbourne,4.4,No
16582263,Gelato Messina,"Ice Cream, Desserts",Fitzroy,Melbourne,4.9,No
16576477,Purple Peanuts Japanese Cafe,"Japanese, Sushi",CBD,Melbourne,4.6,Yes
16578925,Hell of the North,"French, European",Fitzroy,Melbourne,4.7,No
16579337,Aka Siro,Japanese,Collingwood,Melbourne,4.8,No
16713155,Mörk Chocolate Brew House,Desserts,North Melbourne,Melbourne,4.6,No
16585312,The Kettle Black,"Coffee and Tea, Cafe Food",South Melbourne,Melbourne,4.2,No
16570775,Attica,"Australian, Contemporary",Ripponlea,Melbourne,4.8,No
16577469,Joomak,Korean,CBD,Melbourne,4.4,Yes
16579424,Breakfast Thieves,"Coffee and Tea, Modern Australian, Cafe Food",Fitzroy,Melbourne,4.5,No
18567985,Miznon,"Israeli, Mediterranean, Middle Eastern",CBD,Melbourne,4.5,No
16572325,Shoya Nouvelle Wafu Cuisine,"Japanese, Sushi, Japanese BBQ",CBD,Melbourne,4.7,No
16576466,Darac Grill & Bar,"Korean, Asian",CBD,Melbourne,4.5,Yes
16573473,Peko Peko,"Taiwanese, Japanese, Asian",South Melbourne,Melbourne,4.6,Yes
16577331,Burch & Purchese Sweet Studio,Desserts,South Yarra,Melbourne,4.8,No
16579439,CJ Lunch Bar,"Korean, Asian, Hot Pot",CBD,Melbourne,4.5,No
18198271,Ichi Ni Nana Izakaya,"Sushi, Japanese",Fitzroy,Melbourne,4.4,Yes
16573419,Coda,"Asian, Fusion",CBD,Melbourne,4.6,No
16583132,Wagyu Ya,"Japanese, Steak, Japanese BBQ",South Yarra,Melbourne,4.7,No
16564875,The Grounds of Alexandria Cafe,"Coffee and Tea, Salad, Poké, Cafe Food","The Grounds of Alexandria, Alexandria",Sydney,4.4,No
18347530,Kobe Wagyu Yakiniku,"Japanese BBQ, BBQ, Healthy Food, Japanese, Seafood, Steak, Asian",CBD,Sydney,4.5,No
16566986,Devon,"Coffee and Tea, Cafe Food",Surry Hills,Sydney,4.5,No
16564139,Café Cre Asion,"Desserts, Cafe Food, Coffee and Tea",CBD,Sydney,4.8,No
16564570,Sokyo,Japanese,"The Star, Pyrmont",Sydney,4.8,No
16565634,Mr. Wong,"Cantonese, Chinese, Yum Cha","Establishment, CBD",Sydney,4.5,No
16562756,Mappen Noodle Restaurant,"Japanese, Asian","SkyView Shopping Plaza, CBD",Sydney,4.7,No
16567840,Three Williams,"Cafe Food, Coffee and Tea",Redfern,Sydney,4.4,No
15545104,Cafe Oratnek,"Japanese, Asian, Cafe Food, Coffee and Tea",Redfern,Sydney,4.4,No
18241437,KOI Dessert Bar,"Desserts, Modern Australian","Kensington Street, Chippendale",Sydney,4.7,No
16561824,Saké Restaurant & Bar,"Japanese, Sushi","The Rocks Centre, The Rocks ",Sydney,4.5,No
16557398,Bourke Street Bakery,"Cafe Food, Bakery, Desserts, Coffee and Tea",Surry Hills,Sydney,4.6,No
16559119,Sydney Madang,"Hot Pot, Korean BBQ, BBQ, Korean",CBD,Sydney,4.4,No
16562670,Home Thai,"Thai, Salad",CBD,Sydney,4.6,No
16558450,Masuya Japanese Seafood Restaurant,"Japanese, Hot Pot, Sushi",CBD,Sydney,4.6,No
16559232,Toko,Japanese,Surry Hills,Sydney,4.5,No
15547004,Restaurant Hubert,"French, European",CBD,Sydney,4.9,No
16557552,Chat Thai - Haymarket,"Thai, Salad",Haymarket,Sydney,4.6,No
16569007,Cho Cho San,"Japanese, Asian, Fusion",Potts Point,Sydney,4.5,No
16562527,Bistro Papillon,French,CBD,Sydney,4.8,No
16559232,Toko,Japanese,Surry Hills,Sydney,4.5,No
15547004,Restaurant Hubert,"French, European",CBD,Sydney,4.9,No
16557552,Chat Thai - Haymarket,"Thai, Salad",Haymarket,Sydney,4.6,No
16569007,Cho Cho San,"Japanese, Asian, Fusion",Potts Point,Sydney,4.5,No
16562527,Bistro Papillon,French,CBD,Sydney,4.8,No
16557481,Cafe Sydney,"Seafood, Modern Australian",CBD,Sydney,4.6,No
16558268,La Renaissance Cafe Patisserie,"Desserts, Bakery, French, Patisserie, Cafe Food, Coffee and Tea",The Rocks,Sydney,4.8,No
16560990,Black Star Pastry,"Bakery, Desserts, Coffee and Tea",Newtown,Sydney,4.6,No
16559790,Rockpool Bar & Grill,"Seafood, Steak, Modern Australian, Poké",CBD,Sydney,4.6,No
16569454,LuMi Bar & Dining,"Italian, Japanese",Pyrmont,Sydney,4.9,No
16562187,Le Monde,Modern Australian,Surry Hills,Sydney,4.5,No
16566463,Rustic Pearl,"Turkish, Cafe Food, Coffee and Tea",Surry Hills,Sydney,4.7,No
16567979,Celsius Coffee Co,"Cafe Food, Coffee and Tea",Kirribilli,Sydney,4.4,No
16557237,Bar Luca,"Burger, Modern Australian",CBD,Sydney,4.7,No
16559171,Tetsuya's,Japanese,CBD,Sydney,4.9,No
16563159,Ms. G's,"Asian, Vietnamese, Salad",Potts Point,Sydney,4.5,No
16566109,Ippudo,"Japanese, Ramen","Westfield Pitt Street Mall, CBD",Sydney,4.5,No
16558798,Quay,Modern Australian,Circular Quay,Sydney,4.9,No
16566176,Kepos Street Kitchen,Middle Eastern,Redfern,Sydney,4.6,No
16564684,Buffalo Dining Club,Italian,Darlinghurst,Sydney,4.5,No
16563159,Ms. G's,"Asian, Vietnamese, Salad",Potts Point,Sydney,4.5,No
16566109,Ippudo,"Japanese, Ramen","Westfield Pitt Street Mall, CBD",Sydney,4.5,No
16558798,Quay,Modern Australian,Circular Quay,Sydney,4.9,No
16566176,Kepos Street Kitchen,Middle Eastern,Redfern,Sydney,4.6,No
16564684,Buffalo Dining Club,Italian,Darlinghurst,Sydney,4.5,No
16559908,Hurricane's Grill- Darling Harbour,"Steak, Modern Australian, Salad","Harbourside Shopping Centre, Darling Harbour",Sydney,4.4,Yes
16568099,Cuckoo Callay,"Coffee and Tea, Cafe Food",Newtown,Sydney,4.6,No
16569020,Bowery Lane,"Modern Australian, Cafe Food","Wintergarden, CBD",Sydney,4.4,No
16568165,Brewtown Newtown,"Cafe Food, Coffee and Tea",Newtown,Sydney,4.4,No
16562433,Cow & The Moon,"Ice Cream, Desserts, Coffee and Tea",Enmore,Sydney,4.9,No
16564828,Reuben Hills,"Cafe Food, Coffee and Tea, Fried Chicken",Surry Hills,Sydney,4.3,No
16563677,Circa,"Cafe Food, Coffee and Tea",Parramatta,Sydney,4.7,No
16561698,Gumshara Ramen,"Ramen, Japanese","Harbour Plaza, Chinatown",Sydney,4.4,No
16559086,Suminoya Japanese,Japanese BBQ,CBD,Sydney,4.5,No
16561309,Revolver,"Coffee and Tea, Cafe Food",Annandale,Sydney,4.5,No
17743923,Juan Bowl & Tea,"Japanese, Tea",Redfern,Sydney,4.5,No
15546911,Flower Child,"Bakery, Cafe Food, Coffee and Tea","Westfield Chatswood, Chatswood",Sydney,4.4,No
18394951,Cuppa Flower,"Cafe Food, Coffee and Tea",Waterloo,Sydney,4.2,No
16570446,Belly Bao,"Taiwanese, Street Food",Newtown,Sydney,4.6,No
17744148,Ho Jiak Haymarket 好吃禧市,"Malaysian, Asian, Chinese, Asian Fusion, Singaporean",Haymarket,Sydney,4.8,No
17743923,Juan Bowl & Tea,"Japanese, Tea",Redfern,Sydney,4.5,No
15546911,Flower Child,"Bakery, Cafe Food, Coffee and Tea","Westfield Chatswood, Chatswood",Sydney,4.4,No
18394951,Cuppa Flower,"Cafe Food, Coffee and Tea",Waterloo,Sydney,4.2,No
16570446,Belly Bao,"Taiwanese, Street Food",Newtown,Sydney,4.6,No
17744148,Ho Jiak Haymarket 好吃禧市,"Malaysian, Asian, Chinese, Asian Fusion, Singaporean",Haymarket,Sydney,4.8,No
16566535,Lorraine's Patisserie,"Desserts, Bakery","Ivy, CBD",Sydney,4.9,No
16566547,Oh! Matcha,"Japanese, Cafe Food, Coffee and Tea","Regent Place Arcade, CBD",Sydney,4.4,No
18220980,Black Star Pastry,"Bakery, Desserts, Coffee and Tea","The Galeries, CBD",Sydney,4.7,No
17742790,Meet Mica,"Healthy Food, Seafood, Fusion, Japanese, Contemporary, Asian, Coffee and Tea, Cafe Food",Surry Hills,Sydney,4.2,No
16562675,Chefs Gallery Town Hall,Chinese,"Regent Place Arcade, CBD",Sydney,4.4,No
16557570,China Doll,"Asian, Chinese",Woolloomooloo,Sydney,4.6,No
16564699,The Baxter Inn,Bar Food,CBD,Sydney,4.8,No
16558906,Ryo's Noodles,"Japanese, Ramen",Crows Nest,Sydney,4.7,No
16569877,Yasaka Ramen,"Japanese, Ramen",CBD,Sydney,4.2,No
16558421,Mamak,Malaysian,Haymarket,Sydney,4.5,Yes
16566248,Méjico,"Mexican, Bar Food",CBD,Sydney,4.3,No
16567674,The Paramount Coffee Project,"Cafe Food, Coffee and Tea",Surry Hills,Sydney,4.2,No
16559258,Trio,"Mediterranean, Cafe Food, Coffee and Tea, Australian, European, Juices, Sandwich, Salad",Bondi Beach,Sydney,4.7,No
15545439,Manpuku - Chatswood,"Japanese, Ramen",Chatswood,Sydney,4.9,No
16562652,Mad Spuds Cafe,"Irish, Healthy Food, Salad, Cafe Food, Coffee and Tea",Surry Hills,Sydney,4.5,No
16566248,Méjico,"Mexican, Bar Food",CBD,Sydney,4.3,No
16567674,The Paramount Coffee Project,"Cafe Food, Coffee and Tea",Surry Hills,Sydney,4.2,No
16559258,Trio,"Mediterranean, Cafe Food, Coffee and Tea, Australian, European, Juices, Sandwich, Salad",Bondi Beach,Sydney,4.7,No
15545439,Manpuku - Chatswood,"Japanese, Ramen",Chatswood,Sydney,4.9,No
16562652,Mad Spuds Cafe,"Irish, Healthy Food, Salad, Cafe Food, Coffee and Tea",Surry Hills,Sydney,4.5,No
16568015,Social Brew Cafe,"Cafe Food, Coffee and Tea",Pyrmont,Sydney,4.7,No
16557807,Encasa,Spanish,Haymarket,Sydney,4.5,Yes
16557147,Aria,Modern Australian,Circular Quay,Sydney,4.4,No
16559500,Miso Japanese Restaurant,Japanese,"World Square, CBD",Sydney,4.5,No
16557718,Din Tai Fung,"Chinese, Taiwanese, Yum Cha","World Square, CBD",Sydney,4.4,No
16561338,The Winery,Modern Australian,Surry Hills,Sydney,4.4,No
16568476,La Mamma del Gelato Anita,Ice Cream,"Central Park, Chippendale",Sydney,4.9,No
16569582,Chaco Ramen,Ramen,Darlinghurst,Sydney,4.5,No
16563069,Felix Bistro and Bar,French,"Ivy, CBD",Sydney,4.5,No
16564479,BLACK Bar & Grill,"Steak, Modern Australian","The Star, Pyrmont",Sydney,4.5,No
15546922,Social Hideout,"Juices, Desserts, Modern Australian, Salad, Coffee and Tea, Vegetarian, Cafe Food",Parramatta,Sydney,4.2,No
18498289,Concrete Jungle,"Cafe Food, Coffee and Tea",Chippendale,Sydney,4.2,No
16565382,Hartsyard,Modern Australian,Newtown,Sydney,4.5,No
16559009,Single O,"Cafe Food, Coffee and Tea",Surry Hills,Sydney,4.6,No
16557948,glass brasserie & wine bar,"Modern Australian, French, Tapas","Hilton Sydney, CBD",Sydney,4.5,No
