Restaurant ID,Name,Cuisine,Locality,City,Rating,Total Number Ratings,Delivery
16579424,Breakfast Thieves,"Coffee and Tea, Modern Australian, Cafe Food",Fitzroy,Melbourne,4.5,471,No
16571710,Laksa King,"Malaysian, Chinese",Flemington,Melbourne,4.6,1302,No
16576466,Darac Grill & Bar,"Korean, Asian",CBD,Melbourne,4.4,413,Yes
16573473,Peko Peko,"Taiwanese, Japanese, Asian",South Melbourne,Melbourne,4.6,514,Yes
16577331,Burch & Purchese Sweet Studio,Desserts,South Yarra,Melbourne,4.8,484,No
16579439,CJ Lunch Bar,"Korean, Asian, Hot Pot",CBD,Melbourne,4.5,334,No
16573419,Coda,"Asian, Fusion",CBD,Melbourne,4.6,562,No
18198271,Ichi Ni Nana Izakaya,"Sushi, Japanese",Fitzroy,Melbourne,4.4,384,Yes
16583132,Wagyu Ya,"Japanese, Steak, Japanese BBQ",South Yarra,Melbourne,4.7,389,No
16577621,Komeyui,"Japanese, Japanese BBQ",South Melbourne,Melbourne,4.7,247,No
16573067,Cutler & Co,Modern Australian,Fitzroy,Melbourne,4.7,569,No
16713830,Bibelot,"Desserts, Ice Cream, Cafe Food, Coffee and Tea",South Melbourne,Melbourne,4.8,427,No
17849363,Grand Lafayette,"Cafe Food, Japanese, Coffee and Tea",Prahran,Melbourne,4.1,422,No
18097646,Agathé Pâtisserie,"Bakery, Patisserie","South Melbourne Market, South Melbourne",Melbourne,4.9,319,No
16574818,Proud Mary,"Coffee and Tea, Cafe Food",Collingwood,Melbourne,4.5,894,No
16571988,Nobu,Japanese,"Crown Melbourne, Southbank",Melbourne,4.5,1022,No
16576672,LuxBite,"Desserts, Coffee and Tea, Cafe Food",South Yarra,Melbourne,4.5,598,No
16582655,Om Nom Kitchen - Adelphi Hotel,"Desserts, Modern Australian",CBD,Melbourne,4.3,484,No
16572155,Punch Lane,"Mediterranean, Modern Australian",CBD,Melbourne,4.8,430,No
16583248,Pidapipó,"Ice Cream, Desserts",Carlton,Melbourne,4.9,525,No
16571628,Kenzan Japanese,"Japanese, Sushi",Collins Place,Melbourne,4.6,262,No
16572235,Rockpool Bar & Grill,"Seafood, Steak, Australian","Crown Melbourne, Southbank",Melbourne,4.5,1094,No
